City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
296,bordj bou arreridj,36.0732,4.7611,279.19,72,0,1.3,DZ,1707018123
297,guelmim,28.987,-10.0574,287.34,13,75,6.17,MA,1707018124
298,beledweyne,4.7358,45.2036,297.0,73,44,5.05,SO,1707018124
299,ndjole,-0.1783,10.7649,297.36,97,100,0.28,GA,1707018125
300,jeddah,21.5169,39.2192,291.07,39,0,2.57,SA,1707018126
301,vihari,30.0333,72.35,285.54,74,86,4.1,PK,1707018126
302,colonia,50.9333,6.95,283.74,90,75,7.2,DE,1707017979
303,charters towers,-20.1,146.2667,305.36,49,100,3.95,AU,1707018128
304,sao joao da barra,-21.6403,-41.0511,297.89,90,100,3.3,BR,1707018112
305,leava,-14.3,-178.1667,302.11,73,92,3.19,WF,1707018129
306,zag,46.9441,99.165,256.92,93,96,0.92,MN,1707018129
307,douglas,41.3,-96.167,279.07,88,100,4.63,US,1707018130
308,kiama,-34.6833,150.8667,305.58,64,59,7.25,AU,1707018114
309,northam,51.0333,-4.2167,284.48,100,100,8.64,GB,1707018132
310,barrouallie,13.2333,-61.2667,297.67,81,41,3.43,VC,1707018132
311,otjiwarongo,-20.4637,16.6477,292.28,84,100,0.95,NA,1707018133
312,severo-yeniseyskiy,60.3725,93.0408,256.72,95,96,1.61,RU,1707018133
313,achinsk,56.2694,90.4993,262.65,88,100,4.84,RU,1707018134
314,mansfield,53.1333,-1.2,283.26,93,100,5.12,GB,1707017999
315,awjilah,29.1081,21.2869,284.29,56,2,3.39,LY,1707018135
316,sann,26.0418,68.1378,289.46,71,57,5.91,PK,1707018136
317,el porvenir,13.7617,-87.3458,297.78,89,89,0.74,HN,1707018137
318,queenstown,-31.8976,26.8753,291.49,80,63,0.58,ZA,1707018137
319,kerikeri,-35.2268,173.9474,294.89,49,0,3.16,NZ,1707018138
320,angaur state,6.906,134.13,300.65,81,97,8.72,PW,1707018139
321,thongwa,16.7619,96.5278,297.24,37,1,2.42,MM,1707018139
322,ouesso,1.6136,16.0517,294.96,52,98,0.29,CG,1707018140
323,kerman,30.2832,57.0788,265.07,38,0,2.06,IR,1707018141
324,vorgashor,67.5833,63.95,252.13,96,38,2.01,RU,1707018142
325,ulanhot,46.0833,122.0833,262.89,52,0,3.0,CN,1707018054
326,bleckede,53.3,10.7333,280.07,86,78,6.47,DE,1707018143
327,iskateley,67.6803,53.1512,259.83,84,16,7.15,RU,1707018143
328,ciudad melchor muzquiz,27.8833,-101.5167,292.25,18,0,3.1,MX,1707018144
329,palikir - national government center,6.9248,158.1611,299.62,89,100,3.09,FM,1707017949
330,coracora,-15.0333,-73.7833,285.96,83,100,0.36,PE,1707018145
331,acarau,-2.8856,-40.12,299.68,85,100,5.26,BR,1707018146
332,yanykurgan,43.915,67.2481,268.34,86,99,3.54,KZ,1707018146
333,woolgoolga,-30.1106,153.2007,304.84,73,90,8.54,AU,1707018147
334,campo maior,-4.8278,-42.1686,298.57,71,93,0.54,BR,1707018148
335,puerto cabezas,14.0351,-83.3888,298.66,86,4,5.9,NI,1707018148
336,mizan teferi,6.9833,35.5833,290.79,79,72,1.31,ET,1707018149
337,cooma,-36.2333,149.1333,306.27,14,77,6.03,AU,1707017945
338,keflavik,64.0049,-22.5624,271.39,93,75,10.8,IS,1707018150
339,dzuunmod,48.2199,97.3744,259.27,88,89,1.13,MN,1707018151
340,dhidhdhoo,6.8833,73.1,300.92,74,92,6.02,MV,1707018151
341,pagar alam,-4.0167,103.2667,299.51,71,97,1.39,ID,1707018152
342,selfoss,63.9331,-20.9971,265.96,82,83,5.52,IS,1707018152
343,newman,37.3138,-121.0208,284.98,81,100,1.95,US,1707018153
344,tura,25.5198,90.2201,293.91,23,0,1.4,IN,1707018154
345,gimbi,9.1667,35.8333,287.97,41,99,0.79,ET,1707018155
346,manay,7.215,126.5397,301.52,75,79,4.31,PH,1707018155
347,varberg,57.1056,12.2508,278.18,93,100,11.49,SE,1707018156
348,mejit,10.2753,170.8646,299.93,77,86,8.48,MH,1707018157
349,rikaze,29.25,88.8833,274.63,10,0,0.44,CN,1707018157
350,harstad,68.799,16.5293,272.81,96,100,25.93,NO,1707018158
351,vrangel',42.7297,133.0839,267.68,39,0,5.03,RU,1707018158
352,lowicz,52.1071,19.9453,279.26,76,97,9.0,PL,1707018159
353,barcelos,41.5388,-8.6151,284.73,82,0,1.77,PT,1707018160
354,derzhavinsk,51.1,66.3167,268.69,92,99,7.85,KZ,1707018160
355,nyurba,63.2842,118.3319,249.37,90,81,3.06,RU,1707018161
356,kharkhorin,47.1975,102.8238,261.22,83,100,0.91,MN,1707018161
357,thinadhoo,0.5333,72.9333,301.16,73,86,3.56,MV,1707018163
358,hami,42.8,93.45,270.68,55,28,2.76,CN,1707018163
359,chibougamau,49.9168,-74.3659,260.94,92,75,1.54,CA,1707018164
360,sierra vista,31.5545,-110.3037,278.82,61,0,4.63,US,1707018164
361,roxas,11.5853,122.7511,299.9,66,29,4.09,PH,1707018165
362,weno,7.4515,151.8468,302.12,84,100,6.17,FM,1707018166
363,bayramaly,37.6185,62.1671,272.01,75,9,3.52,TM,1707018166
364,ma'an,26.9775,110.7211,273.74,90,100,1.31,CN,1707018167
365,picota,-6.9197,-76.3304,296.83,95,100,0.29,PE,1707018167
366,souillac,-20.5167,57.5167,296.36,78,40,0.0,MU,1707018168
367,kayangel,8.0823,134.7173,300.66,77,87,8.88,PW,1707018168
368,pont rouge,48.8833,-72.0825,258.31,99,49,0.89,CA,1707018169
369,aoulef,26.9667,1.0833,285.04,50,0,7.73,DZ,1707018170
370,arteche,12.2645,125.4048,301.24,75,36,3.36,PH,1707018171
371,ad dilam,23.9915,47.1627,281.38,41,83,2.03,SA,1707018171
372,chechat,24.7667,75.8833,294.73,50,69,2.26,IN,1707018172
373,pisco,-13.7,-76.2167,297.18,78,75,6.17,PE,1707018173
374,buriti alegre,-18.14,-49.0403,292.82,90,100,1.4,BR,1707018173
375,mandiana,10.6333,-8.6833,295.95,21,0,2.55,GN,1707018174
376,rongelap,11.1635,166.8941,299.8,79,100,8.18,MH,1707018175
377,richland center,43.3347,-90.3868,274.77,90,0,3.08,US,1707018175
378,mahibadhoo,3.7833,72.9667,301.21,78,63,5.94,MV,1707018176
379,huanggang,23.677,116.9996,291.09,80,88,4.26,CN,1707018176
380,promyshlennaya,54.9159,85.6385,266.82,88,100,6.26,RU,1707018177
381,zhanibek,49.4167,46.85,273.12,97,100,9.73,KZ,1707018178
382,luderitz,-26.6481,15.1594,291.22,97,53,0.26,NA,1707018178
383,sebring,27.4956,-81.4409,288.59,80,0,2.57,US,1707018179
384,khanty-mansiysk,61.0042,69.0019,248.21,70,40,1.0,RU,1707018179
